sim_id,timestamp,L1I_size,L1I_assoc,L1D_size,L1D_assoc,L2_size,L2_assoc,L3_size,L3_assoc,load_queue,store_queue,num_fu_read,num_fu_write,ipc,cpi,energy,edp,runtime_power,leakage_power,total_power,sim_seconds,sim_ticks
122,2025-10-29T18:53:45.823844,128kB,4,128kB,4,1MB,16,2MB,16,72,80,2,2,0.959317,1.042408,2.410598,2.5128263142,1.694040,0.618488,2.312528,0.118331,118330951060
123,2025-10-29T18:53:46.193583,128kB,4,128kB,4,1MB,16,2MB,16,48,80,2,1,0.959294,1.042433,2.407121,2.5092619592,1.690790,0.618347,2.309137,0.118334,118333774216
124,2025-10-29T18:53:50.169100,128kB,4,512kB,4,1MB,8,2MB,16,72,72,3,1,0.959629,1.042069,2.494688,2.5996372132,1.748460,0.645516,2.393976,0.118292,118292425524
126,2025-10-29T19:09:57.091096,64kB,4,64kB,4,512kB,8,2MB,16,48,64,3,1,0.958025,1.043814,2.281654,2.3816226326,1.623550,0.562332,2.185882,0.118491,118490561000
129,2025-10-29T19:10:19.059162,64kB,4,64kB,2,256kB,8,2MB,16,64,80,2,1,0.956238,1.045765,2.215129,2.3165043424,1.577390,0.540800,2.118190,0.118712,118712030948
127,2025-10-29T19:10:19.463983,128kB,4,512kB,4,256kB,8,2MB,16,64,72,2,1,0.959517,1.042191,2.431487,2.5340737004,1.747330,0.585723,2.333053,0.118306,118306326628
128,2025-10-29T19:10:19.901392,64kB,4,64kB,2,256kB,8,2MB,16,72,64,3,1,0.956139,1.045873,2.212345,2.3138314522,1.574550,0.540759,2.115309,0.118724,118724321744
130,2025-10-29T19:10:25.602941,128kB,4,128kB,4,1MB,16,2MB,16,64,80,3,1,0.959317,1.042408,2.409470,2.5116505973,1.693000,0.618446,2.311446,0.118331,118330951060
131,2025-10-29T19:26:08.071892,128kB,4,512kB,4,128kB,8,2MB,16,72,80,2,1,0.959465,1.042248,2.423723,2.5261201471,1.750220,0.575256,2.325476,0.118313,118312761196
133,2025-10-29T19:26:24.483891,128kB,4,512kB,4,256kB,8,2MB,16,64,72,2,1,0.959517,1.042191,2.431487,2.5340737004,1.747330,0.585723,2.333053,0.118306,118306326628
134,2025-10-29T19:26:27.047641,64kB,4,128kB,2,1MB,8,2MB,16,64,72,2,2,0.958268,1.043549,2.325631,2.4269103081,1.620080,0.608499,2.228579,0.118460,118460477800
132,2025-10-29T19:26:34.916611,64kB,4,128kB,2,512kB,8,2MB,16,64,64,2,2,0.958075,1.043760,2.283169,2.3830800965,1.618030,0.569416,2.187446,0.118484,118484404892
135,2025-10-29T19:26:45.338376,64kB,4,128kB,2,256kB,8,2MB,16,72,64,2,1,0.956911,1.045029,2.263895,2.3658363868,1.617600,0.548747,2.166347,0.118628,118628444396
136,2025-10-29T19:42:08.044212,64kB,4,512kB,4,512kB,8,2MB,16,48,64,3,1,0.958549,1.043243,2.441275,2.5468432730,1.738460,0.601623,2.340083,0.118426,118425720756
137,2025-10-29T19:42:35.135054,128kB,4,512kB,4,512kB,8,2MB,16,72,64,2,1,0.959566,1.042138,2.452082,2.5554077614,1.746500,0.606434,2.352934,0.118300,118300233828
